Threat-Vulnerability Relationship Matrix,,,,,,,
,,,,,,,
THREAT ID,THREAT,VULNERABILITY ID,VULNERABILITY,VTHE,COUNTERMEASURE ID,COUNTERMEASURE,TECHNICAL NATURE
M1,Queuing access,V8,Inadequate logical access control,4,s1,Identification and authentication,X
,,,,,s1.1,Password is not displayed on screen as you type,X
,,,,,s1.2,The password is case sensitive.,X
,,,,,s1.3,Password requires special characters,X
,,,,,s1.4,Password must contain at least one numeric character,X
,,,,,s1.5,Password must contain at least one alphabetic character,X
,,,,,s1.6,The password must not contain more than three consecutive numbers or letters,X
,,,,,s1.7,The password must not contain more than two consecutive identical numbers or letters,X
,,,,,s1.8,New passwords must always be entered twice to verify correct typing.,X
,,,,,s1.9,Encryption of passwords in transit on the network,X
,,,,,s1.10,Encryption of passwords stored on the host,X
,,,,,s1.11,Access blocked after n failed login attempts,X
,,,,,s1.12,Time-limited access,X
,,,,,s1.13,Viewing Last Login Messages,X
,,,,,s1.14,Disabling system messages,X
,,,,,s1.15,Periodic password change request,X
,,,,,s1.16,Request for a different password from the previous one each time it is changed,X
,,,,,s1.17,Creation of pronounceable passwords by the system,X
,,,,,s1.18,Password expiration control,X
,,,,,s1.19,Minimum password length assignment,X
,,,,,s1.20,Consecutive request for multiple passwords after entering userid,X
,,,,,s1.21,Check new user-generated passwords,X
,,,,,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts,X
,,,,,s1.23,Identification of a user with a unique personal code,X
,,,,,s1.24,Inactive terminals lock the screen or log off after a predetermined period of time,X
,,,,,s1.25,Proxy account routing,X
,,,,,s1.26,User account routing,X
,,,,,s1.27,"The system does not warn the user that the userid is incorrect and still allows the password to be entered. After the password has been entered, it generically communicates that access has not been permitted",X
,,,,,s9,"Implementation of ""discretionary access control""",X
,,,,,s10,"Implementation of ""mandatory access control""",X
,,V19,Changing system hardware configuration,1,pr21,Hardware and software inventory,
,,,,,pr26,Configuration Management,
,,,,,pr26.1,Assigning a unique identifier to each entry,
,,,,,pr26.2,Developing a Configuration Management Plan,
,,,,,pr26.3,Recording all changes to a system's configuration,
,,,,,pr26.4,Implementing a configuration control plan,
