Threat-Vulnerability Relationship Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
THREAT ID,THREAT,VULNERABILITY ID,VULNERABILITY,VTHE,COUNTERMEASURE ID,COUNTERMEASURE,TECHNICAL NATURE
M1,Queuing access,V8,Inadequate logical access control,4,s1,Identification and authentication,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.1,Password is not displayed on screen as you type,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.2,The password is case sensitive.,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.3,Password requires special characters,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.4,Password must contain at least one numeric character,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.5,Password must contain at least one alphabetic character,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.6,The password must not contain more than three consecutive numbers or letters,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.7,The password must not contain more than two consecutive identical numbers or letters,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.8,New passwords must always be entered twice to verify correct typing.,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.9,Encryption of passwords in transit on the network,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.10,Encryption of passwords stored on the host,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.11,Access blocked after n failed login attempts,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.12,Time-limited access,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.13,Viewing Last Login Messages,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.14,Disabling system messages,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.15,Periodic password change request,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.16,Request for a different password from the previous one each time it is changed,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.17,Creation of pronounceable passwords by the system,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.18,Password expiration control,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.19,Minimum password length assignment,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.20,Consecutive request for multiple passwords after entering userid,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.21,Check new user-generated passwords,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.23,Identification of a user with a unique personal code,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.24,Inactive terminals lock the screen or log off after a predetermined period of time,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.25,Proxy account routing,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.26,User account routing,X
M1,Queuing access,V8,Inadequate logical access control,4,s1.27,"The system does not warn the user that the userid is incorrect and still allows the password to be entered. After the password has been entered, it generically communicates that access has not been permitted",X
M1,Queuing access,V8,Inadequate logical access control,4,s9,"Implementation of ""discretionary access control""",X
M1,Queuing access,V8,Inadequate logical access control,4,s10,"Implementation of ""mandatory access control""",X
M1,Queuing access,V19,Changing system hardware configuration,1,pr21,Hardware and software inventory,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26,Configuration Management,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.1,Assigning a unique identifier to each entry,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.2,Developing a Configuration Management Plan,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.3,Recording all changes to a system's configuration,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.4,Implementing a configuration control plan,X
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.5,Life cycle assurance,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8,Software for controlling hardware operation,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.1,CPU Operation Check,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.2,CPU Usage Monitoring,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.3,Monitor system memory usage,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.4,Disk Activity Monitor,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.5,Network activity and traffic monitoring,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.6,Compiling network activity statistics,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.7,System Disk Performance Check,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.8,Remote systems monitoring,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.9,Software for UPS management and server shutdown even in the absence of the system administrator,X
M1,Queuing access,V19,Changing system hardware configuration,1,s8.10,Hardware diagnostic software,X
M1,Queuing access,V22,Changing system software configuration,1,pr9,Software development/update control,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.1,Setting the gold standard for software development,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes",X
M1,Queuing access,V22,Changing system software configuration,1,pr9.3,Definition of system security features,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.5,Assignment of authorized personnel to develop safety procedures,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.6,Perform file access controls for analysts and programmers,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects",X
M1,Queuing access,V22,Changing system software configuration,1,pr9.8,Functional tests on the correct functioning of safety procedures,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.9,Functional testing of security procedure vulnerabilities,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.11,System Penetration Test,X
M1,Queuing access,V22,Changing system software configuration,1,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration",X
M1,Queuing access,V22,Changing system software configuration,1,pr9.13,Formal demonstrations of how the software works,X
M1,Queuing access,V22,Changing system software configuration,1,pr21,Hardware and software inventory,X
M1,Queuing access,V22,Changing system software configuration,1,pr26,Configuration Management,X
M1,Queuing access,V22,Changing system software configuration,1,pr26.1,Assigning a unique identifier to each entry,X
M1,Queuing access,V22,Changing system software configuration,1,pr26.2,Developing a Configuration Management Plan,X
M1,Queuing access,V22,Changing system software configuration,1,pr26.3,Recording all changes to a system's configuration,X
M1,Queuing access,V22,Changing system software configuration,1,pr26.4,Implementing a configuration control plan,X
M1,Queuing access,V22,Changing system software configuration,1,pr26.5,Life cycle assurance,X
M1,Queuing access,V22,Changing system software configuration,1,s7,Software for controlling system hardware/software configurations,X
M1,Queuing access,V22,Changing system software configuration,1,s7.1,Central Processing Unit Configuration Control,X
M1,Queuing access,V22,Changing system software configuration,1,s7.2,Check communication ports connected to the network,X
M2,Power supply,V29,Unstable power supply,1,h6,"Protection from surges, falls, and power failures",X
M2,Power supply,V29,Unstable power supply,1,h6.1,UPS,X
M2,Power supply,V29,Unstable power supply,1,h6.2,Voltage stabilizers,X
M2,Power supply,V29,Unstable power supply,1,h6.3,Emergency batteries,X
M2,Power supply,V29,Unstable power supply,1,h6.4,Line filters,X
M2,Power supply,V29,Unstable power supply,1,h6.5,Circuits for isolated earth connections from apparatus to apparatus,X
M2,Power supply,V29,Unstable power supply,1,h6.6,Pipes near the CED electrically grounded or in PVC,X
M2,Power supply,V35,System not protected from electrostatic charges,1,h15,Anti-static protections,X
M2,Power supply,V35,System not protected from electrostatic charges,1,h15.1,Adoption of antistatic operator chairs,X
M2,Power supply,V35,System not protected from electrostatic charges,1,h15.2,Ground connections,X
M3,Flooding,V12,Untested emergency procedures,1,pr6,Emergency plan,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.1,Procedure manual to be provided to the personnel in charge,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.2,Placement of emergency procedure summary tables (including emergency and management telephone numbers),X
M3,Flooding,V12,Untested emergency procedures,1,pr6.3,Establish rules to verify that an emergency situation actually exists,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.4,Procedure for recovering damaged data,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.5,Presence of a checklist for emergency procedures,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.6,Procedures for repairing or replacing malfunctioning or defective hardware,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.7,Emergency data deletion/destruction procedures,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.8,Locking backups in fireproof safes,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.9,Obligation to contact the Security Officer,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.10,Obligation to contact any external support services,X
M3,Flooding,V12,Untested emergency procedures,1,pr6.11,"Computer shutdown plan, air conditioning systems, electrical systems",X
M3,Flooding,V12,Untested emergency procedures,1,pr6.12,"Periodic review of the emergency plan, with any updates or changes",X
M3,Flooding,V12,Untested emergency procedures,1,pr6.13,Test and simulate emergency procedures at least once every six months,X
M3,Flooding,V27,Inadequate flood protection,3,f1,"CED area isolation, with separate location, to minimize damage from water or fire",X
M3,Flooding,V27,Inadequate flood protection,3,f2,Arrangement of an alternative data processing center area at least on the first floor/level for flood protection,X
M3,Flooding,V27,Inadequate flood protection,3,f8,Environmental parameter control,X
M3,Flooding,V27,Inadequate flood protection,3,f8.4,Flood control with sensors positioned above and below the raised floor,X
M3,Flooding,V27,Inadequate flood protection,3,f8.6,Humidity control,X
M3,Flooding,V27,Inadequate flood protection,3,f8.7,Audible and visual alarm in case of fire or flood,X
M3,Flooding,V27,Inadequate flood protection,3,f12,Anti-flooding measures,X
M3,Flooding,V27,Inadequate flood protection,3,f12.1,Automatic water system shutdown,X
M3,Flooding,V27,Inadequate flood protection,3,f12.2,Manual water system shutdown,X
M3,Flooding,V27,Inadequate flood protection,3,f12.3,Watertight bulkheads,X
M3,Flooding,V27,Inadequate flood protection,3,f12.4,Anti-flooding pumps,X
M3,Flooding,V27,Inadequate flood protection,3,f12.5,Drainage outlets,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9,Software development/update control,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.1,Setting the gold standard for software development,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes",X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.3,Definition of system security features,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented,X
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.5,Assignment of authorized personnel to develop safety procedures,X
